u.WA.StraitJuanDeFuca,u.WA.SanJuanIslands,u.WA.EasternBays,u.WA.PugetSound,u.WA.HoodCanal,year,u.WA.StraitJuanDeFuca,u.WA.SanJuanIslands,u.WA.EasternBays,u.WA.PugetSound,u.WA.HoodCanal,,,u.WA.Georgia.Strait,u.WA.OlympicPeninsula,u.WA.CoastalEstuaries,u.OR.NorthCoast,u.OR.SouthCoast,u.CA.Mainland,u.CA.ChannelIslands,u.BC.Inland,u.BC.Outer,,,,,,,,,,,,,,,,,,
6.656468024,7.352690925,7.125534692,6.21659268,6.651377785,1982,777.7989129,1560.389775,1243.312779,500.9932761,773.84979,,,9.202098839,7.574054934,8.351605698,6.739383522,7.620090167,9.318724308,7.903857875,9.228708827,8.492124909,,,,,,,,,,,777.7989129,1560.389775,1243.312779,500.9932761,773.84979,,1982,"7,430"
6.752612673,7.468645673,7.226090153,6.294724885,6.652829715,1983,856.2930563,1752.231983,1374.836581,541.7067942,774.9741818,,,9.333317851,7.655326143,8.422071454,6.850946098,7.748145382,9.375786044,7.945965699,9.342644907,8.598957493,,,,,,,,,,,856.2930563,1752.231983,1374.836581,541.7067942,774.9741818,,1983,"8,109"
6.84125065,7.599177874,7.356139348,6.367269588,6.654223497,1984,935.6585847,1996.553801,1565.779948,582.4652855,776.05508,,,9.469456594,7.730113038,8.491476287,6.926381531,7.794757651,9.428004514,7.983603499,9.474921718,8.763799038,,,,,,,,,,,935.6585847,1996.553801,1565.779948,582.4652855,776.05508,,1984,"8,960"
6.922830716,7.622146694,7.320376581,6.434627959,6.655571197,1985,1015.189645,2042.942999,1510.772791,623.0507393,777.1016745,,,9.575390843,7.799176184,8.579263381,7.003162264,7.839780685,9.476076563,8.017436221,9.59108538,8.922377758,,,,,,,,,,,1015.189645,2042.942999,1510.772791,623.0507393,777.1016745,,1985,"9,133"
6.997567596,7.699873018,7.389153664,6.496701335,6.656884479,1986,1093.968945,2208.067589,1618.335877,662.9511684,778.1228986,,,9.69808565,7.862953484,8.64290791,7.068419832,7.803088478,9.519992515,8.04864683,9.708363031,9.07532216,,,,,,,,,,,1093.968945,2208.067589,1618.335877,662.9511684,778.1228986,,1986,"9,733"
7.067019966,7.773883895,7.461118341,6.55430413,6.658174712,1987,1172.64829,2377.688069,1739.091868,702.2602979,779.1275063,,,9.86660291,7.922815929,8.728646272,7.226467904,7.856684452,9.559972699,8.078181368,9.852100994,9.189014585,,,,,,,,,,,1172.64829,2377.688069,1739.091868,702.2602979,779.1275063,,1987,"10,359"
7.131402992,7.899401385,7.520407122,6.607754886,6.659453064,1988,1250.630361,2695.668178,1845.318411,740.8179296,780.1241424,,,9.990079407,7.977790038,8.777500882,7.346304543,7.957123572,9.596130229,8.104418308,9.975527593,9.236727997,,,,,,,,,,,1250.630361,2695.668178,1845.318411,740.8179296,780.1241424,,1988,"11,188"
7.19040475,7.981611613,7.528848904,6.657349184,6.6607306,1989,1326.640055,2926.643883,1860.962124,778.4845802,781.121416,,,10.12504869,8.028610824,8.815470584,7.458512015,8.013844211,9.629269779,8.127907437,10.09000583,9.280052984,,,,,,,,,,,1326.640055,2926.643883,1860.962124,778.4845802,781.121416,,1989,"11,741"
7.244712855,8.068290579,7.556647131,6.703361277,6.662018379,1990,1400.67964,3191.641305,1913.419302,815.1411407,782.1279757,,,10.25619401,8.075138575,8.856604011,7.514562871,7.993553541,9.659256595,8.148709005,10.20155758,9.319039947,,,,,,,,,,,1400.67964,3191.641305,1913.419302,815.1411407,782.1279757,,1990,"12,398"
7.295247286,8.157774387,7.584430417,6.746045612,6.663327547,1991,1473.281178,3490.409652,1967.325759,850.6881515,783.1525832,,,10.26496914,8.118130252,8.894806717,7.554609946,7.984141358,9.686566824,8.167985152,10.2347745,9.35396472,,,,,,,,,,,1473.281178,3490.409652,1967.325759,850.6881515,783.1525832,,1991,"13,104"
7.342273249,8.239795604,7.636708342,6.785502869,6.66218755,1992,1544.21852,3788.76582,2072.909266,884.9249764,782.2603003,,,10.27041431,8.157514257,8.902491797,7.666828032,7.985859393,9.71092939,8.184841346,10.2654648,9.384965722,,,,,,,,,,,1544.21852,3788.76582,2072.909266,884.9249764,782.2603003,,1992,"13,882"
7.38567027,8.346114013,7.666880265,6.82273875,6.659722317,1993,1612.708383,4213.774214,2136.406017,918.4971025,780.3342215,,,10.44540229,8.193410491,8.898846724,7.687900551,7.939880895,9.732569434,8.199694297,10.39807478,9.458917725,,,,,,,,,,,1612.708383,4213.774214,2136.406017,918.4971025,780.3342215,,1993,"14,782"
7.425142687,8.402572084,7.668758121,6.857141496,6.658846456,1994,1677.638933,4458.5197,2140.421649,950.6457552,779.6510564,,,10.61769736,8.226573354,8.875231016,7.670125138,7.845931863,9.752737719,8.213452787,10.52860917,9.53669012,,,,,,,,,,,1677.638933,4458.5197,2140.421649,950.6457552,779.6510564,,1994,"15,311"
7.461839545,8.447238009,7.669376153,6.889380326,6.657964529,1995,1740.34656,4662.178042,2141.744907,981.7928372,778.9637642,,,10.62144902,8.257327569,8.882702016,7.639853013,7.798796741,9.771068667,8.225613529,10.5494499,9.5561812,,,,,,,,,,,1740.34656,4662.178042,2141.744907,981.7928372,778.9637642,,1995,"15,767"
7.495151589,8.464161539,7.729818921,6.919320074,6.657068902,1996,1799.297498,4741.749972,2275.190174,1011.631926,778.2664155,,,10.62312935,8.285098217,8.904095997,7.657112435,7.835756923,9.787125163,8.237069675,10.56863312,9.572549971,,,,,,,,,,,1799.297498,4741.749972,2275.190174,1011.631926,778.2664155,,1996,"16,227"
7.525668506,8.401338588,7.621926522,6.946831397,6.654856265,1997,1855.052926,4453.023524,2042.49325,1039.849632,776.5462982,,,10.5096937,8.311280523,8.926621704,7.661237659,7.919267985,9.801689883,8.247420554,10.5216248,9.599966773,,,,,,,,,,,1855.052926,4453.023524,2042.49325,1039.849632,776.5462982,,1997,"15,555"
7.553354528,8.364650506,7.543250069,6.972305228,6.653240799,1998,1907.129532,4292.611234,1887.956052,1066.678856,775.2928268,,,10.39379215,8.33532947,8.944278686,7.663772802,7.928926043,9.81489428,8.256770169,10.47288212,9.624434807,,,,,,,,,,,1907.129532,4292.611234,1887.956052,1066.678856,775.2928268,,1998,"15,192"
7.579050522,8.303387974,7.534533364,6.996052227,6.653268876,1999,1956.770173,4037.528289,1871.570813,1092.312434,775.314595,,,10.46568656,8.357492114,8.959565773,7.57069519,7.908498288,9.826857529,8.26521246,10.53589938,9.66705647,,,,,,,,,,,1956.770173,4037.528289,1871.570813,1092.312434,775.314595,,1999,"14,892"
7.602958168,8.319889506,7.524229055,7.018275991,6.653740416,2000,2004.115646,4104.706438,1852.384589,1116.859481,775.680273,,,10.5349597,8.378560769,8.986861148,7.524772064,7.958555728,9.837687606,8.272832253,10.59722171,9.706995267,,,,,,,,,,,2004.115646,4104.706438,1852.384589,1116.859481,775.680273,,2000,"15,076"
7.624993517,8.334376634,7.513466147,7.038913461,6.654161692,2001,2048.767183,4164.604674,1832.55445,1140.148118,776.0071174,,,10.57378778,8.398017235,9.012059016,7.544914685,7.9678394,9.847763225,8.279751749,10.61274121,9.74440949,,,,,,,,,,,2048.767183,4164.604674,1832.55445,1140.148118,776.0071174,,2001,"15,242"
7.645300843,8.346997467,7.502097344,7.058078763,6.654536351,2002,2090.797483,4217.498535,1811.838481,1162.210138,776.2979099,,,10.61037624,8.415984876,9.035320557,7.639881547,8.019047936,9.856894355,8.285994833,10.62677801,9.779447428,,,,,,,,,,,2090.797483,4217.498535,1811.838481,1162.210138,776.2979099,,2002,"15,390"
7.664013106,8.357881033,7.489967059,7.075877878,6.654867634,2003,2130.289374,4263.650653,1789.993127,1183.081646,776.5551268,,,10.64485427,8.43257762,9.056794571,7.712915717,8.026308198,9.86552537,8.291729252,10.6393709,9.812247948,,,,,,,,,,,2130.289374,4263.650653,1789.993127,1183.081646,776.5551268,,2003,"15,520"
7.681252824,8.367138599,7.476909283,7.092409235,6.65515841,2004,2167.333359,4303.304948,1766.771737,1202.802146,776.7809632,,,10.6773436,8.447900675,9.076618418,7.736121924,8.036540974,9.873372207,8.296907604,10.62800087,9.842941053,,,,,,,,,,,2167.333359,4303.304948,1766.771737,1202.802146,776.7809632,,2004,"15,632"
7.697132871,8.374864811,7.462745314,7.107764253,6.655411196,2005,2202.025441,4336.681967,1741.923626,1221.413719,776.9773474,,,10.70795895,8.462051197,9.094918905,7.757998732,8.046147894,9.879944153,8.3014459,10.61519029,9.810714152,,,,,,,,,,,2202.025441,4336.681967,1741.923626,1221.413719,776.9773474,,2005,"15,727"
7.71175722,8.381138656,7.447281311,7.122027843,6.65562818,2006,2234.465257,4363.975165,1715.193723,1238.960305,777.1459573,,,10.73680839,8.475118911,9.111813095,7.778622299,8.055167236,9.88586206,8.305525759,10.60090379,9.884118571,,,,,,,,,,,2234.465257,4363.975165,1715.193723,1238.960305,777.1459573,,2006,"15,805"
7.725221624,8.386024276,7.430305642,7.135278883,6.65581124,2007,2264.754456,4385.348056,1686.322906,1255.487074,777.2882347,,,10.76399379,8.487186673,9.127409054,7.798064417,8.063634939,9.891179338,8.309188174,10.5851019,9.955700424,,,,,,,,,,,2264.754456,4385.348056,1686.322906,1255.487074,777.2882347,,2007,"15,865"
7.737614239,8.389571617,7.411585987,7.147590651,6.655961961,2008,2292.995313,4400.932006,1655.049153,1271.039884,777.4053972,,,10.78961113,8.498331,9.141806545,7.816392768,8.071584741,9.895943979,8.312513396,10.56774098,9.989298209,,,,,,,,,,,2292.995313,4400.932006,1655.049153,1271.039884,777.4053972,,2008,"15,908"
7.749016205,8.391816947,7.390866158,7.159031229,6.656081646,2009,2319.289586,4410.824653,1621.109642,1285.664815,777.4984465,,,10.81375085,8.508622555,9.155097663,7.833671156,8.079048319,9.900198986,8.315491384,10.59752541,10.01093487,,,,,,,,,,,2319.289586,4410.824653,1621.109642,1285.664815,777.4984465,,2009,"15,934"
7.759502175,8.39278322,7.367862593,7.169663885,6.656171334,2010,2343.737544,4415.088773,1584.243987,1299.407779,777.5681819,,,10.8364982,8.518126592,9.167367428,7.849959728,8.08605541,9.904929148,8.318502295,10.62578512,10.03125158,,,,,,,,,,,2343.737544,4415.088773,1584.243987,1299.407779,777.5681819,,2010,"15,943"
7.769140804,8.392480314,7.342260479,7.179547415,6.656231798,2011,2366.437181,4413.751619,1544.1988,1312.31419,777.6151982,,,10.85793347,8.526903373,9.178694326,7.865315188,8.092633934,9.909230771,8.321226146,10.65259817,10.05032887,,,,,,,,,,,2366.437181,4413.751619,1544.1988,1312.31419,777.6151982,,2011,"15,934"
7.777995202,8.390905133,7.313709437,7.188736476,6.656263564,2012,2387.483597,4406.804634,1500.733754,1324.4287,777.6399003,,,10.87813235,8.535008548,9.18915081,7.87979099,8.098810103,9.91314268,8.323690305,10.67803861,10.06824236,,,,,,,,,,,2387.483597,4406.804634,1500.733754,1324.4287,777.6399003,,2012,"15,908"
7.78612334,8.388041574,7.281818734,7.197281883,6.656266906,2013,2406.968474,4394.203539,1453.629388,1335.794978,777.6424992,,,10.89716615,8.542493509,9.198803767,7.893437527,8.104608526,9.916700182,8.325919531,10.70217671,10.08506303,,,,,,,,,,,2406.968474,4394.203539,1453.629388,1335.794978,777.6424992,,2013,"15,863"
7.794111389,8.400431136,7.312264373,7.205009248,6.656558238,2014,2426.272454,4448.984452,1498.566664,1346.157138,777.8690844,,,10.91510208,8.549405715,9.207714945,7.906302303,8.110052307,9.919935386,8.327936223,10.72507914,10.10085756,,,,,,,,,,,2426.272454,4448.984452,1498.566664,1346.157138,777.8690844,,2014,"16,062"
7.801478699,8.411629709,7.339350574,7.212182947,6.656823697,2015,2444.213563,4499.086742,1539.71186,1355.848785,778.0756041,,,10.93200346,8.555788993,9.215941345,7.918430105,8.115163136,9.922877489,8.329760644,10.74680915,10.11568855,,,,,,,,,,,2444.213563,4499.086742,1539.71186,1355.848785,778.0756041,,2015,"16,244"
